Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_323:0000241,BMDW_M_gplant,,Trial evaluation,Harvest,Standard for ICARDA,,"ICARDA, IBP","RPS Verma, Julian Pietragalla",30-Jan-2014,EN,Barley,CO_323:0000228,Aboveground biomass yield dry weight basis,Agronomic,The amount in dry weight basis of aboveground biomass that was harvested per unit area or plant.,,BMDW,,Aboveground biomass,yield dry weight basis,,,CO_323:0000240,Biological yield DW basis - Measurement,Measurement,"Record dry weight of harvested biomass per sampling unit (plot, plant).",,,CO_323:0000041,g/plant,Numerical,,,,,,,,,,,,,,
,CO_323:0000243,BMDW_Cp_kgha,,Trial evaluation,Harvest,,,,,,EN,Barley,CO_323:0000228,Aboveground biomass yield dry weight basis,Agronomic,The amount in dry weight basis of aboveground biomass that was harvested per unit area or plant.,,BMDW,,Aboveground biomass,yield dry weight basis,,,CO_323:0000242,Biological yield DW basis - Computation,Computation,Compute dry weight of harvested biomass per area.,,,CO_323:0000236,kg/ha,Numerical,,,,,,,,,,,,,,
,CO_323:0000245,BMFW_Cp_gplot,BY,Trial evaluation,Harvest,Standard for ICARDA,,"ICARDA, IBP","RPS Verma, Julian Pietragalla",,EN,Barley,CO_323:0000039,Aboveground biomass yield fresh weight basis,Agronomic,The amount in fresh weight basis of aboveground biomass that was harvested per unit area or plant.,,BMFW,,Aboveground biomass,yield fresh weight basis,,,CO_323:0000244,Biological yield FW basis - Measurement,Measurement,"Record fresh weight of harvested biomass per sampling unit (plot, plant).",,,CO_323:0000044,g/plot,Numerical,,,,,,,,,,,,,,
,CO_323:0000247,AphidSus_E_1to9,,"Nursery observation, Trial evaluation",,Standard for ICARDA,,"ICARDA, IBP","RPS Verma, Julian Pietragalla",30-Jan-2014,EN,Barley,CO_323:0000171,Aphids susceptibility,Biotic stress,"The plant susceptibility to aphids in general, without distinguishing species. For example, Corn leaf aphid (Rhopalosiphum maidis), Russian wheat aphid (Diuraphis noxia), Greenbug (Schizaphis graminum), etc.",,AphidSus,,Plant,Aphids susceptibility,,,CO_323:0000246,Aphids susceptibility - Estimation,Estimation,"Observe the plant susceptibility to aphids in general, and rate it. Aphid susceptibility in the field is evaluated by taking into consideration aphid spread on number of plants as well as on the plant (aphid colonization) and apparent damage to the plant vigor/ growth.",,,CO_323:0000155,1-9 General susceptibility scale,Ordinal,,,,,1= very low or no visible sign of susceptibility,2= very low to low susceptibility,3= low susceptibility,4= low to intermediate susceptibility,5= intermediate susceptibility,6= intermediate to high susceptibility,7= high susceptibility,8= high to very high susceptibility,9= very high susceptibility,
,CO_323:0000250,AuclePig_E_cat,,Plant descriptor,Flowering,,,,,,EN,Barley,CO_323:0000054,Auricle pigmentation,Morphological,The pigmentation of the auricles.,,AuclePig,,Auricle,pigmentation,,,CO_323:0000248,Auricle pigmentation - Estimation,Estimation,Observe auricle pigmentation as qualitative trait and rate it. Usually recorded during early grain filling stage.,,"IPGRI. 1994. Descriptors for barley (Hordeum vulgare L.). International Plant Genetic Resources Institute, Rome, Italy.",CO_323:0000249,Auricle pigmentation scale,Ordinal,,,,,1= green,2= pale purple,3= purple,4= dark purple,,,,,,
,CO_323:0000252,AuclePig_E_1to9,,Plant descriptor,Flowering,Standard for ICARDA,,"ICARDA, IBP","RPS Verma, Julian Pietragalla",30-Jan-2014,EN,Barley,CO_323:0000054,Auricle pigmentation,Morphological,The pigmentation of the auricles.,,AuclePig,,Auricle,pigmentation,,,CO_323:0000248,Auricle pigmentation - Estimation,Estimation,Observe auricle pigmentation as qualitative trait and rate it. Usually recorded during early grain filling stage.,,"IPGRI. 1994. Descriptors for barley (Hordeum vulgare L.). International Plant Genetic Resources Institute, Rome, Italy.",CO_323:0000056,Pigmentation scale,Ordinal,,,,,1= absent,2= missing category description,3= missing category description,4= missing category description,5= pale purple,6= missing category description,7= missing category description,8= missing category description,9= dark purple,
,CO_323:0000256,AwnCol_E_1to6,,Plant descriptor,Vegetative,,,,,,EN,Barley,CO_323:0000253,Awn colour,Morphological,The colour of the awns.,,AwnCol,,Awn,colour,,,CO_323:0000254,Awn colour - Estimation,Estimation,Observe the awns colour and record it.,,"IPGRI. 1994. Descriptors for barley (Hordeum vulgare L.). International Plant Genetic Resources Institute, Rome, Italy.",CO_323:0000255,1-6 Awn colour scale,Nominal,,,,,1= amber-white,2= yellow,3= brown,4= reddish,5= black,6= other (specify in notes),,,,
,CO_323:0000258,AwnLng_M_1to3,,Trial evaluation,Grain filling,Standard for ICARDA,,"ICARDA, IBP","RPS Verma, Julian Pietragalla",30-Jan-2014,EN,Barley,CO_323:0000102,Awn length,Morphological,The length of awns.,,AwnLng,,Awn,length,,,CO_323:0000257,Awn length - Estimation,Estimation,Observe awns length and rate it.,,,CO_323:0000234,1-3 Length scale,Ordinal,,,,,1= short,2= medium,3= long,,,,,,,
,CO_323:0000260,AwnLng_M_cm,,Trial evaluation,Grain filling,Standard for ICARDA,,"ICARDA, IBP","RPS Verma, Julian Pietragalla",30-Jan-2014,EN,Barley,CO_323:0000102,Awn length,Morphological,The length of awns.,,AwnLng,,Awn,length,,,CO_323:0000259,Awn length - Measurement,Measurement,Measure awns from the tip of the spike up to the tip of the awns.,,,CO_323:0000026,cm,Numerical,,,,,,,,,,,,,,
,CO_323:0000262,AwnPre_E_0to1,,Trial evaluation,Grain filling,Standard for ICARDA,,"ICARDA, IBP","RPS Verma, Julian Pietragalla",30-Jan-2014,EN,Barley,CO_323:0000096,Awn presence,Morphological,The presence or absence of awns.,,AwnPre,,Awn,presence,,,CO_323:0000261,Awn presence - Estimation,Estimation,Observe the presence of awns and record it.,,,CO_323:0000053,Absent-Present scale,Ordinal,,,,,0= absent,1= present,,,,,,,,
